Wavelength(nm)	R_simulated	R_experimental
3.112500e+02	0.431572	0.139540
3.115000e+02	0.434069	0.140770
3.117500e+02	0.436536	0.141300
3.120000e+02	0.438972	0.141500
3.122500e+02	0.441376	0.142510
3.125000e+02	0.443750	0.143500
3.127500e+02	0.446093	0.144050
3.130000e+02	0.448406	0.144580
3.132500e+02	0.450689	0.145250
3.135000e+02	0.452942	0.146110
3.137500e+02	0.455165	0.146650
3.140000e+02	0.457358	0.147240
3.142500e+02	0.459522	0.148100
3.145000e+02	0.461656	0.148640
3.147500e+02	0.463761	0.149170
3.150000e+02	0.465837	0.149730
3.152500e+02	0.467883	0.150140
3.155000e+02	0.469901	0.150900
3.157500e+02	0.471889	0.151910
3.160000e+02	0.473850	0.152190
3.162500e+02	0.475781	0.152380
3.165000e+02	0.477685	0.153040
3.167500e+02	0.479562	0.153560
3.170000e+02	0.481411	0.153700
3.172500e+02	0.483232	0.154380
3.175000e+02	0.485026	0.155100
3.177500e+02	0.486793	0.155220
3.180000e+02	0.488532	0.155790
3.182500e+02	0.490245	0.156640
3.185000e+02	0.491931	0.157070
3.187500e+02	0.493591	0.157460
3.190000e+02	0.495226	0.157800
3.192500e+02	0.496834	0.158140
3.195000e+02	0.498416	0.158710
3.197500e+02	0.499973	0.159420
3.200000e+02	0.501504	0.159980
3.202500e+02	0.503010	0.160180
3.205000e+02	0.504492	0.160250
3.207500e+02	0.505949	0.160740
3.210000e+02	0.507381	0.161240
3.212500e+02	0.508789	0.161370
3.215000e+02	0.510173	0.161640
3.217500e+02	0.511533	0.161950
3.220000e+02	0.512870	0.162530
3.222500e+02	0.514184	0.163000
3.225000e+02	0.515474	0.163410
3.227500e+02	0.516741	0.163690
3.230000e+02	0.517986	0.163740
3.232500e+02	0.519208	0.163960
3.235000e+02	0.520408	0.164520
3.237500e+02	0.521586	0.164840
3.240000e+02	0.522741	0.164940
3.242500e+02	0.523875	0.165080
3.245000e+02	0.524988	0.165360
3.247500e+02	0.526080	0.165730
3.250000e+02	0.527150	0.165400
3.252500e+02	0.528200	0.165680
3.255000e+02	0.529229	0.166460
3.257500e+02	0.530238	0.166570
3.260000e+02	0.531227	0.166970
3.262500e+02	0.532195	0.167830
3.265000e+02	0.533144	0.167860
3.267500e+02	0.534074	0.167570
3.270000e+02	0.534984	0.167670
3.272500e+02	0.535875	0.168100
3.275000e+02	0.536747	0.168230
3.277500e+02	0.537600	0.167940
3.280000e+02	0.538435	0.168030
3.282500e+02	0.539252	0.168490
3.285000e+02	0.540051	0.168770
3.287500e+02	0.540831	0.169010
3.290000e+02	0.541594	0.169190
3.292500e+02	0.542340	0.169560
3.295000e+02	0.543068	0.169870
3.297500e+02	0.543779	0.169600
3.300000e+02	0.544474	0.170150
3.302500e+02	0.545151	0.170390
3.305000e+02	0.545812	0.169810
3.307500e+02	0.546456	0.170060
3.310000e+02	0.547085	0.170670
